,age,gender,purchase_frequency,purchase_categories,personalized_recommendation_frequency,browsing_frequency,product_search_method,search_result_exploration,customer_reviews_importance,add_to_cart_browsing,cart_completion_frequency,cart_abandonment_factors,saveforlater_frequency,review_left,review_reliability,review_helpfulness,personalized_recommendation_scale,recommendation_helpfulness,rating_accuracy ,shopping_satisfaction,service_appreciation,improvement_areas,polarity_shopping_satisfaction,age_category
149,29,Female,Multiple times a week,Beauty and Personal Care,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,1,Sometimes,1,1,Competitive prices,Product quality and accuracy,Negative,25-35
149,29,Female,Multiple times a week,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,1,Sometimes,1,1,Competitive prices,Product quality and accuracy,Negative,25-35
149,29,Female,Multiple times a week,Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,1,Sometimes,1,1,Competitive prices,Product quality and accuracy,Negative,25-35
149,29,Female,Multiple times a week,others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,1,Sometimes,1,1,Competitive prices,Product quality and accuracy,Negative,25-35
150,63,Male,Less than once a month,Groceries and Gourmet Food,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness,Negative,55+
150,63,Male,Less than once a month,Home and Kitchen,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness,Negative,55+
150,63,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness,Negative,55+
151,24,Male,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,2,Sometimes,2,1,Competitive prices,Product quality and accuracy,Negative,25-35
151,24,Male,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,2,Sometimes,2,1,Competitive prices,Product quality and accuracy,Negative,25-35
152,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,High shipping costs,Often,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Shipping speed and reliability,Negative,25-35
153,26,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Occasionally,Yes,5,Yes,1,1,Wide product selection,Product quality and accuracy,Negative,25-35
153,26,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Occasionally,Yes,5,Yes,1,1,Wide product selection,Product quality and accuracy,Negative,25-35
154,29,Male,Multiple times a week,Beauty and Personal Care,No,Multiple times a day,Filter,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Always,No,Rarely,Yes,3,Yes,1,1,Competitive prices,Shipping speed and reliability,Negative,25-35
154,29,Male,Multiple times a week,Clothing and Fashion,No,Multiple times a day,Filter,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Always,No,Rarely,Yes,3,Yes,1,1,Competitive prices,Shipping speed and reliability,Negative,25-35
155,46,Prefer not to say,Few times a month,Beauty and Personal Care,No,Few times a month,Keyword,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,No,2,Yes,3,2,Competitive prices,Reducing packaging waste,Negative,45-55
155,46,Prefer not to say,Few times a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,No,2,Yes,3,2,Competitive prices,Reducing packaging waste,Negative,45-55
156,24,Male,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,4,5,Wide product selection,Nil,Positive,25-35
157,33,Female,Few times a month,Groceries and Gourmet Food,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,No,Occasionally,No,2,No,2,2,Competitive prices,Reducing packaging waste,Negative,35-45
157,33,Female,Few times a month,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,No,Occasionally,No,2,No,2,2,Competitive prices,Reducing packaging waste,Negative,35-45
158,33,Female,Once a week,Beauty and Personal Care,No,Few times a week,Filter,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,2,Yes,1,1,Product recommendations,Shipping speed and reliability,Negative,35-45
158,33,Female,Once a week,others,No,Few times a week,Filter,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,2,Yes,1,1,Product recommendations,Shipping speed and reliability,Negative,35-45
159,31,Prefer not to say,Once a month,Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Heavily,No,3,No,5,4,Wide product selection,Shipping speed and reliability,Positive,35-45
160,40,Prefer not to say,Few times a month,Clothing and Fashion,Sometimes,Multiple times a day,Filter,First page,2,No,Always,High shipping costs,Often,No,Occasionally,No,1,Yes,1,2,Product recommendations,Reducing packaging waste,Negative,45-55
160,40,Prefer not to say,Few times a month,Home and Kitchen,Sometimes,Multiple times a day,Filter,First page,2,No,Always,High shipping costs,Often,No,Occasionally,No,1,Yes,1,2,Product recommendations,Reducing packaging waste,Negative,45-55
161,37,Male,Once a week,Beauty and Personal Care,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Always,No,Occasionally,No,2,No,3,4,Product recommendations,Customer service responsiveness,Positive,35-45
161,37,Male,Once a week,Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Always,No,Occasionally,No,2,No,3,4,Product recommendations,Customer service responsiveness,Positive,35-45
162,25,Prefer not to say,Few times a month,Beauty and Personal Care,No,Rarely,categories,First page,3,No,Rarely,Changed my mind or no longer need the item,Often,No,Heavily,No,2,No,3,2,User-friendly website/app interface,Product quality and accuracy,Negative,25-35
163,60,Female,Once a week,Beauty and Personal Care,Yes,Multiple times a day,Keyword,First page,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,2,No,2,3,Product recommendations,Customer service responsiveness,Neutral,55+
163,60,Female,Once a week,Clothing and Fashion,Yes,Multiple times a day,Keyword,First page,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,2,No,2,3,Product recommendations,Customer service responsiveness,Neutral,55+
164,18,Female,Once a week,Groceries and Gourmet Food,No,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Rarely,No,4,No,4,4,Competitive prices,Reducing packaging waste,Positive,15-25
164,18,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Rarely,No,4,No,4,4,Competitive prices,Reducing packaging waste,Positive,15-25
165,50,Male,Less than once a month,Clothing and Fashion,No,Few times a week,categories,Multiple pages,3,No,Never,others,Rarely,No,Occasionally,No,4,No,4,4,Product recommendations,Shipping speed and reliability,Positive,55+
165,50,Male,Less than once a month,Home and Kitchen,No,Few times a week,categories,Multiple pages,3,No,Never,others,Rarely,No,Occasionally,No,4,No,4,4,Product recommendations,Shipping speed and reliability,Positive,55+
165,50,Male,Less than once a month,others,No,Few times a week,categories,Multiple pages,3,No,Never,others,Rarely,No,Occasionally,No,4,No,4,4,Product recommendations,Shipping speed and reliability,Positive,55+
166,24,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Occasionally,Sometimes,3,No,2,3,Wide product selection,Product quality and accuracy,Neutral,25-35
166,24,Prefer not to say,Few times a month,Clothing and Fashion,Sometimes,Few times a month,categories,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Occasionally,Sometimes,3,No,2,3,Wide product selection,Product quality and accuracy,Neutral,25-35
166,24,Prefer not to say,Few times a month,Home and Kitchen,Sometimes,Few times a month,categories,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Occasionally,Sometimes,3,No,2,3,Wide product selection,Product quality and accuracy,Neutral,25-35
167,19,Female,Few times a month,Beauty and Personal Care,No,Few times a month,categories,First page,3,No,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,No,3,2,Wide product selection,Customer service responsiveness,Negative,15-25
167,19,Female,Few times a month,Clothing and Fashion,No,Few times a month,categories,First page,3,No,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,No,3,2,Wide product selection,Customer service responsiveness,Negative,15-25
168,18,Female,Once a month,Beauty and Personal Care,No,Rarely,others,First page,4,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,1,No,2,1,Wide product selection,Product quality and accuracy,Negative,15-25
168,18,Female,Once a month,Clothing and Fashion,No,Rarely,others,First page,4,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,1,No,2,1,Wide product selection,Product quality and accuracy,Negative,15-25
168,18,Female,Once a month,others,No,Rarely,others,First page,4,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,1,No,2,1,Wide product selection,Product quality and accuracy,Negative,15-25
169,17,Male,Few times a month,Groceries and Gourmet Food,No,Few times a week,categories,Multiple pages,3,Maybe,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,No,2,No,2,2,Wide product selection,Customer service responsiveness,Negative,15-25
169,17,Male,Few times a month,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,3,Maybe,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,No,2,No,2,2,Wide product selection,Customer service responsiveness,Negative,15-25
169,17,Male,Few times a month,Clothing and Fashion,No,Few times a week,categories,Multiple pages,3,Maybe,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,No,2,No,2,2,Wide product selection,Customer service responsiveness,Negative,15-25
170,27,Female,Once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability,Negative,25-35
171,23,Male,Less than once a month,Beauty and Personal Care,No,Rarely,Filter,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,Negative,25-35
171,23,Male,Less than once a month,Home and Kitchen,No,Rarely,Filter,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,Negative,25-35
171,23,Male,Less than once a month,others,No,Rarely,Filter,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,Negative,25-35
172,35,Female,Few times a month,Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Rarely,Found a better price elsewhere,Often,Yes,Occasionally,No,2,No,4,2,Product recommendations,Reducing packaging waste,Negative,35-45
173,57,Female,Few times a month,Groceries and Gourmet Food,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste,Negative,55+
173,57,Female,Few times a month,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste,Negative,55+
173,57,Female,Few times a month,Clothing and Fashion,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste,Negative,55+
173,57,Female,Few times a month,Home and Kitchen,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste,Negative,55+
173,57,Female,Few times a month,others,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste,Negative,55+
174,54,Male,Few times a month,Groceries and Gourmet Food,No,Few times a week,Filter,First page,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,No,3,No,2,2,Competitive prices,Product quality and accuracy,Negative,55+
174,54,Male,Few times a month,Clothing and Fashion,No,Few times a week,Filter,First page,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,No,3,No,2,2,Competitive prices,Product quality and accuracy,Negative,55+
174,54,Male,Few times a month,Home and Kitchen,No,Few times a week,Filter,First page,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,No,3,No,2,2,Competitive prices,Product quality and accuracy,Negative,55+
175,26,Prefer not to say,Once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Sometimes,High shipping costs,Often,No,Heavily,No,2,No,2,2,Wide product selection,Shipping speed and reliability,Negative,25-35
176,46,Male,Once a week,Beauty and Personal Care,Sometimes,Rarely,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Often,Yes,Heavily,No,2,No,2,2,Competitive prices,Customer service responsiveness,Negative,45-55
177,26,Female,Multiple times a week,Groceries and Gourmet Food,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list,Negative,25-35
177,26,Female,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list,Negative,25-35
177,26,Female,Multiple times a week,Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list,Negative,25-35
177,26,Female,Multiple times a week,Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list,Negative,25-35
177,26,Female,Multiple times a week,others,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list,Negative,25-35
178,24,Male,Once a month,others,No,Few times a month,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability,Negative,25-35
179,26,Female,Once a month,Groceries and Gourmet Food,No,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,2,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,Negative,25-35
179,26,Female,Once a month,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,2,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,Negative,25-35
179,26,Female,Once a month,Clothing and Fashion,No,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,2,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,Negative,25-35
180,27,Male,Once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,5,Maybe,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,2,Wide product selection,Shipping speed and reliability,Negative,25-35
181,22,Female,Few times a month,Beauty and Personal Care,Yes,Multiple times a day,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Always,Yes,Moderately,Sometimes,1,Sometimes,3,3,Competitive prices,Customer service responsiveness,Neutral,25-35
182,24,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,3,Product recommendations,Customer service responsiveness,Neutral,25-35
183,25,Male,Multiple times a week,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Often,No,Occasionally,Sometimes,2,No,3,3,Competitive prices,Reducing packaging waste,Neutral,25-35
184,22,Prefer not to say,Once a month,Beauty and Personal Care,Yes,Few times a week,others,First page,2,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,Neutral,25-35
185,27,Male,Once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,Negative,25-35
186,23,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,2,Yes,2,2,Competitive prices,Shipping speed and reliability,Negative,25-35
186,23,Female,Less than once a month,Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,2,Yes,2,2,Competitive prices,Shipping speed and reliability,Negative,25-35
187,24,Male,Less than once a month,Clothing and Fashion,No,Few times a month,categories,First page,1,Maybe,Sometimes,High shipping costs,Never,No,Heavily,Yes,3,Yes,3,3,User-friendly website/app interface,Product quality and accuracy,Neutral,25-35
188,24,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Moderately,Yes,3,No,3,3,Competitive prices,Product quality and accuracy,Neutral,25-35
189,23,Female,Few times a month,Clothing and Fashion,No,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,4,Yes,3,4,User-friendly website/app interface,Product quality and accuracy,Positive,25-35
190,23,Male,Once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Heavily,Yes,3,No,3,3,Competitive prices,UI,Neutral,25-35
190,23,Male,Once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Heavily,Yes,3,No,3,3,Competitive prices,UI,Neutral,25-35
191,25,Female,Once a week,Groceries and Gourmet Food,Yes,Multiple times a day,Filter,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,3,Yes,3,3,Product recommendations,Reducing packaging waste,Neutral,25-35
192,21,Male,Once a week,Groceries and Gourmet Food,No,Few times a week,categories,First page,5,Maybe,Sometimes,High shipping costs,Rarely,Yes,Occasionally,No,3,No,3,3,User-friendly website/app interface,Customer service responsiveness,Neutral,25-35
193,36,Female,Few times a month,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,Sometimes,3,4,Wide product selection,Customer service responsiveness,Positive,35-45
194,23,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,Neutral,25-35
195,23,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness,Neutral,25-35
196,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness,Neutral,25-35
197,21,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,3,No,3,3,Competitive prices,Customer service responsiveness,Neutral,25-35
198,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Often,High shipping costs,Always,Yes,Heavily,Yes,3,Sometimes,3,3,Competitive prices,Product quality and accuracy,Neutral,25-35
199,26,Others,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Yes,Sometimes,High shipping costs,Sometimes,Yes,Occasionally,No,3,No,2,3,User-friendly website/app interface,Product quality and accuracy,Neutral,25-35
200,30,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Never,Yes,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,Neutral,35-45
201,37,Female,Once a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,2,3,Wide product selection,Product quality and accuracy,Neutral,35-45
202,26,Female,Once a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Occasionally,Yes,2,Yes,3,3,Competitive prices,Shipping speed and reliability,Neutral,25-35
203,46,Female,Once a month,others,Sometimes,Rarely,others,First page,5,Yes,Always,High shipping costs,Always,Yes,Rarely,Sometimes,1,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,Negative,45-55
204,36,Female,Less than once a month,others,No,Rarely,others,Multiple pages,4,No,Never,others,Never,No,Never,Sometimes,4,Yes,4,4,User-friendly website/app interface,Product quality and accuracy,Positive,35-45
205,40,Female,Less than once a month,Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,3,Yes,2,2,Wide product selection,Customer service responsiveness,Negative,45-55
206,41,Male,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,5,Yes,2,3,Wide product selection,Shipping speed and reliability,Neutral,45-55
207,34,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,4,No,3,2,Wide product selection,Scrolling option would be much better than going to next page,Negative,35-45
208,29,Female,Once a month,Beauty and Personal Care,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,No,3,3,User-friendly website/app interface,Product quality and accuracy,Neutral,25-35
208,29,Female,Once a month,Clothing and Fashion,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,No,3,3,User-friendly website/app interface,Product quality and accuracy,Neutral,25-35
208,29,Female,Once a month,Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,No,3,3,User-friendly website/app interface,Product quality and accuracy,Neutral,25-35
209,35,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,Yes,2,Yes,3,3,Product recommendations,Product quality and accuracy,Neutral,35-45
210,32,Male,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Moderately,Yes,3,Yes,1,3,Product recommendations,Reducing packaging waste,Neutral,35-45
211,41,Male,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,No,Heavily,Yes,1,Yes,2,2,Wide product selection,Product quality and accuracy,Negative,45-55
211,41,Male,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,No,Heavily,Yes,1,Yes,2,2,Wide product selection,Product quality and accuracy,Negative,45-55
211,41,Male,Few times a month,others,Sometimes,Few times a week,Filter,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,No,Heavily,Yes,1,Yes,2,2,Wide product selection,Product quality and accuracy,Negative,45-55
212,35,Female,Few times a month,Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,2,Yes,3,2,Wide product selection,Product quality and accuracy,Negative,35-45
212,35,Female,Few times a month,others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,2,Yes,3,2,Wide product selection,Product quality and accuracy,Negative,35-45
213,36,Female,Few times a month,Groceries and Gourmet Food,Yes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,Yes,2,1,Competitive prices,Reducing packaging waste,Negative,35-45
213,36,Female,Few times a month,Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,Yes,2,1,Competitive prices,Reducing packaging waste,Negative,35-45
213,36,Female,Few times a month,others,Yes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,Yes,2,1,Competitive prices,Reducing packaging waste,Negative,35-45
214,46,Female,Once a week,others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,5,Sometimes,3,4,Wide product selection,Customer service responsiveness,Positive,45-55
215,39,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,1,Sometimes,2,3,Wide product selection,Customer service responsiveness,Neutral,35-45
216,48,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Occasionally,Yes,2,Yes,2,1,Wide product selection,Customer service responsiveness,Negative,45-55
217,25,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,4,Wide product selection,Customer service responsiveness,Positive,25-35
218,38,Male,Once a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers,Neutral,35-45
218,38,Male,Once a month,Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers,Neutral,35-45
218,38,Male,Once a month,Home and Kitchen,Yes,Few times a week,categories,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers,Neutral,35-45
218,38,Male,Once a month,others,Yes,Few times a week,categories,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers,Neutral,35-45
